,Unnamed: 0,rating,reviewContent,clean_teks
4662,4662,5,"Barang bagus , pengiriman cepat, packing rapi, dapet gantungan kunci arsenal, keren.. top lah...",barang bagus kirim cepat packing rapi dapet gantung kunci arsenal keren top
4663,4663,5,nan,nan
4664,4664,5,nan,nan
4665,4665,5,bagus,bagus
4666,4666,5,nan,nan
4667,4667,5,nan,nan
4668,4668,5,nan,nan
4669,4669,5,nan,nan
4670,4670,5,nan,nan
4671,4671,4,nan,nan
4672,4672,5,nan,nan
4673,4673,5,nan,nan
4674,4674,5,nan,nan
4675,4675,5,nan,nan
4676,4676,5,nan,nan
4677,4677,5,nan,nan
4678,4678,5,nan,nan
4679,4679,5,nan,nan
4680,4680,5,nan,nan
4681,4681,5,bagus,bagus
4682,4682,5,nan,nan
4683,4683,5,nan,nan
4684,4684,5,nan,nan
4685,4685,5,nan,nan
4686,4686,5,nan,nan
4687,4687,3,nan,nan
4688,4688,5,nan,nan
4689,4689,5,nan,nan
4690,4690,5,nan,nan
4691,4691,5,nan,nan
4692,4692,5,Mantap,mantap
4693,4693,5,nan,nan
4694,4694,5,nan,nan
4695,4695,5,nan,nan
4696,4696,5,nan,nan
4697,4697,5,nan,nan
4698,4698,5,nan,nan
4699,4699,5,nan,nan
4700,4700,5,nan,nan
4701,4701,5,nan,nan
4702,4702,5,nan,nan
4703,4703,5,bagus,bagus
4704,4704,5,nan,nan
4705,4705,5,nan,nan
4706,4706,5,nan,nan
4707,4707,5,nan,nan
4708,4708,5,nan,nan
4709,4709,5,nan,nan
4710,4710,5,nan,nan
4711,4711,5,nan,nan
4712,4712,5,nan,nan
4713,4713,5,nan,nan
4714,4714,5,nan,nan
4715,4715,5,bagus,bagus
4716,4716,5,nan,nan
4717,4717,5,nan,nan
4718,4718,5,nan,nan
4719,4719,5,nan,nan
4720,4720,5,nan,nan
4721,4721,5,nan,nan
4722,4722,5,nan,nan
4723,4723,5,nan,nan
4724,4724,5,nan,nan
4725,4725,5,nan,nan
4726,4726,5,nan,nan
4727,4727,3,nan,nan
4728,4728,5,nan,nan
4729,4729,5,nan,nan
4730,4730,5,nan,nan
4731,4731,5,nan,nan
4732,4732,5,nan,nan
4733,4733,5,nan,nan
4734,4734,5,nan,nan
4735,4735,5,Good,good
4736,4736,5,nan,nan
4737,4737,5,nan,nan
4738,4738,5,nan,nan
4739,4739,5,nan,nan
4740,4740,5,nan,nan
4741,4741,5,nan,nan
4742,4742,5,nan,nan
4743,4743,5,nan,nan
4744,4744,5,nan,nan
4745,4745,5,nan,nan
4746,4746,5,nan,nan
4747,4747,5,nan,nan
4748,4748,4,nan,nan
4749,4749,5,nan,nan
4750,4750,5,nan,nan
4751,4751,5,nan,nan
4752,4752,5,nan,nan
4753,4753,5,nan,nan
4754,4754,5,ok,ok
4755,4755,5,nan,nan
4756,4756,5,nan,nan
4757,4757,5,ok,ok
4758,4758,5,nan,nan
4759,4759,5,nan,nan
4760,4760,5,nan,nan
4761,4761,5,nan,nan
4762,4762,5,nan,nan
4763,4763,5,nan,nan
4764,4764,5,nan,nan
4765,4765,5,nan,nan
4766,4766,5,nan,nan
4767,4767,5,nan,nan
4768,4768,5,nan,nan
4769,4769,5,nan,nan
4770,4770,5,nan,nan
4771,4771,5,nan,nan
4772,4772,5,nan,nan
4773,4773,5,nan,nan
4774,4774,5,nan,nan
4775,4775,5,nan,nan
4776,4776,5,good,good
4777,4777,5,nan,nan
4778,4778,5,packing ok,packing ok
4779,4779,5,nan,nan
4780,4780,5,nan,nan
4781,4781,5,sip,sip
4782,4782,4,nan,nan
4783,4783,5,nan,nan
4784,4784,5,nan,nan
4785,4785,5,nan,nan
4786,4786,5,nan,nan
4787,4787,4,nan,nan
4788,4788,5,nan,nan
4789,4789,4,nan,nan
4790,4790,5,nan,nan
4791,4791,5,nan,nan
4792,4792,4,nan,nan
4793,4793,5,nan,nan
4794,4794,4,nan,nan
4795,4795,4,nan,nan
4796,4796,5,nan,nan
4797,4797,5,nan,nan
4798,4798,4,nan,nan
4799,4799,4,lumayan,lumayan
4800,4800,4,nan,nan
4801,4801,3,nan,nan
4802,4802,5,nan,nan
4803,4803,5,nan,nan
4804,4804,5,nan,nan
4805,4805,5,nan,nan
4806,4806,5,nan,nan
4807,4807,5,nan,nan
4808,4808,5,nan,nan
4809,4809,5,nan,nan
4810,4810,5,nan,nan
4811,4811,5,keren,keren
4812,4812,5,"Barangnya orisinil, transfer rate sesuai, tidak ada masalah dalam sebulan lebih",barang orisinil transfer rate sesuai bulan
4813,4813,5,"Pacling Rapi, Harga murah,  Kualitas baik",pacling rapi harga murah kualitas
4814,4814,5,nan,nan
4815,4815,5,murah dan mantap,murah mantap
4816,4816,3,kapasitas aslinya 56 GB aja,kapasitas asli gb
4817,4817,5,"berfungsi dengan baik, sangat murah untuk ukuran 64gb,tapi tidak mengorbankan kualitas..",fungsi murah ukur gbtapi korban kualitas
4818,4818,5,nan,nan
4819,4819,5,nan,nan
4820,4820,4,nan,nan
4821,4821,5,"Flashdisk utk gini yg okey, tanpa OTG ato kabel data bs digunakan di hp dan laptop",flashdisk okey otg ato kabel data hp laptop
4822,4822,1,Kok gabisa dicolokin ke hp??  gamasuk.  kecewa ah tampilan doang bagus,dicolokin hp masuk kecewa ah tampil bagus
4823,4823,5,recomended pokoknya,recomended pokok
4824,4824,5,"Flashdisk Ok, pengiriman ok, terimakasih bos..",flashdisk ok kirim ok terimakasih bos
4825,4825,5,"sangat bagus, dan bonus mainan gantungannya juga keren 😁",bagus bonus main gantung keren
4826,4826,5,barang bagus disain nya juga keren anti air pula poko ne keren dah......,barang bagus disain nya keren anti air poko ne keren
4827,4827,5,Barang OK> Transfer Data baik write ataupun read OK. Benar2 USB 3.0,barang ok transfer data write read ok usb
4828,4828,5,nan,nan
4829,4829,3,nan,nan
4830,4830,5,nan,nan
4831,4831,5,nan,nan
4832,4832,5,nan,nan
4833,4833,5,nan,nan
4834,4834,5,nan,nan
4835,4835,5,nan,nan
4836,4836,5,nan,nan
4837,4837,5,nan,nan
4838,4838,5,nan,nan
4839,4839,4,nan,nan
4840,4840,5,"Mantap banget, sesuai diskripsi semoga bisa beli lagi untuk kerjaan",mantap banget sesuai skripsi moga beli kerja
4841,4841,5,nan,nan
4842,4842,5,"Seller ramah, pengiriman aman dan cepat, deskripsi sesuai, plus dapat diskon voucher dari lazada. Makasih pasar tablet dan lazada",jual ramah kirim aman cepat deskripsi sesuai plus diskon voucher lazada terimakasih pasar tablet lazada
4843,4843,5,Bisa bayar dngan di cicil gan,bayar cicil juragan
4844,4844,4,"oke, pesan sekarang besok diterima... sayang segelnya terbuka dan warna bukan biru, semoga kualitas original",oke pesan besok terima sayang segel buka warna biru moga kualitas original
4845,4845,5,nan,nan
4846,4846,5,"brg udah sy trma,,,, packingx bagus n kuat sehingga brgx dlm kondisi bagus jg,,,, brg n bonusx sesuai dgn gambar, pokoke puas dech,,,, tq Lazada",barang trma packingx bagus n kuat brgx kondisi bagus barang n bonusx sesuai gambar pokok puas dech terimakasih lazada
4847,4847,5,"Packing rapi, sesuai dengan batas waktu pengiriman, setelah dibuka barang pun sesuai dengan yang dideskripsikan mulus dan bonus pun komplit. Bisa jadi rujukan kembali nih jika nanti belanja..Good Job,gan!",packing rapi sesuai batas kirim buka barang sesuai deskripsi mulus bonus komplit rujuk nih belanjagood jobgan
4848,4848,5,"Barang sesuai dengan spek, packingnya rapi, dan bonusnya juga sesuai. Cuma sempet nyasar tu barang ke rumah orang, yang beda komplek sama rumah ane. Padahal pas dicek lagi alamatnya udah bener. Untung yg nerima barang baik bgt, ane ditelp dan dikasi alamat rumah dia buat ngambil barangnya.",barang sesuai spek packingnya rapi bonus sesuai sempet nyasar barang rumah orang beda komplek rumah pas cek alamat bener untung nerima barang banget ditelp kasih alamat rumah ambil barang
4849,4849,5,Barang sdh sampai. Bagus & sesuai  Terimakasih lazada & blanja murah,barang bagus sesuai terimakasih lazada blanja murah
4850,4850,5,nan,nan
4851,4851,5,nan,nan
4852,4852,5,nan,nan
4853,4853,4,nan,nan
4854,4854,5,nan,nan
4855,4855,4,nan,nan
4856,4856,4,nan,nan
4857,4857,5,nan,nan
4858,4858,5,nan,nan
4859,4859,4,nan,nan
4860,4860,5,Barang sampai sesuai estimasi. Packaging rapi dan bagus. Barang dan hadiah semuanya juga mulus. Thanks so much lazada,barang sesuai estimasi packaging rapi bagus barang hadiah mulus terimakasih much lazada
4861,4861,5,"Pengiriman cepat.. barang yg dipesan sesuai dan aman, juga hadiah barang rendomnya sukaak..",kirim cepat barang pes sesuai aman hadiah barang rendomnya sukaak
4862,4862,5,nan,nan
4863,4863,5,nan,nan
4864,4864,4,nan,nan
4865,4865,5,"Sesuai judul, produknya recommended degh :) Gampang juga untuk penggunaannya.",sesuai judul produk recommended degh gampang guna
4866,4866,3,Ini serius gan? Murah banget buset,serius juragan murah banget buset
4867,4867,1,Bekas ya?,bekas ya
4868,4868,5,nan,nan
4869,4869,5,nan,nan
4870,4870,5,Alhamdulillah udah 2 kali order Sesuai yang dikirim SANDISK Cuma belum diCoba Nyimpen File,alhamdulillah kali order sesuai kirim sandisk coba nyimpen file
4871,4871,5,"barangnya bagus original dan packingnya juga rapi, gak nyesel beli disini, thx Lazada dan Seller..",barang bagus original packingnya rapi sesal beli terimakasih lazada jual
4872,4872,5,barang udah sampai tadi skitar jam 10.30 udah saya terima..Barangnya oke mantab sesuai pesanan..Trmksh  lazada..Lain waktu saya pesan produk yg lainnya..Trmksh..,barang jam terimabarangnya oke mantap sesuai pesanantrmksh lazadalain pesan produk lainnyatrmksh
4873,4873,1,barang yg dikrim lain.,barang krim
4874,4874,5,Terimakasih sdh saya terima,terimakasih terima
4875,4875,5,"pecking rapih,, dan bapak kurirnya ramah banget sampe di rumah walau pun jalanb jelek dia tempuh",pecking rapih kurir ramah banget rumah jalanb jelek tempuh
4876,4876,5,Puas sama Flasdisknya. barang orisinil no tipu2 Sellernya. udah 3 kali beli di CX shop.. sukses terus buat seller dan lazada. pasti kapan2 order lagi di CX shop,puas flasdisknya barang orisinil nomor tipu sellernya kali beli cx shop sukses jual lazada order cx shop
4877,4877,5,nan,nan
